記録日時              : = Sun Mar 21 17:41:05 2021,,,,,,,,
シナリオファイル名    : = ..\data\Scenario\Nakano_Lab\Xue\trackingTest_Wang.snr,,,,,,,,
記録用コメント        : = ,,,,,,,,
記録周期 [Hz]         : = 120,,,,,,,,
記録時間[sec]         : = 58.116667,,,,,,,,
,,,,,,,,
ﾌﾚｰﾑ,自車両データ:位置座標(X) [m],自車両データ:位置座標(Y) [m],自車両データ:ISO座標系 姿勢角(φ) [rad],自車両データ:ISO座標系 姿勢角(θ) [rad],自車両データ:ISO座標系 姿勢角(ψ) [rad],自車両データ:速度 [m/s],自車両データ:ライト類点灯状態,自車両データ:運転席I/O出力 ホーン
0,6174,2204,0,0,0.523598776,15,0,0
2,6174.215905,2204.124653,0,0,0.523598776,14.91666667,0,0
4,6174.430607,2204.248611,0,0,0.523598776,14.83333333,0,0
6,6174.644106,2204.371875,0,0,0.523598776,14.75,0,0
8,6174.856403,2204.494444,0,0,0.523598776,14.66666667,0,0
10,6175.067497,2204.616319,0,0,0.523598776,14.58333333,0,0
12,6175.277387,2204.7375,0,0,0.523598776,14.5,0,0
14,6175.486076,2204.857986,0,0,0.523598776,14.41666667,0,0
16,6175.693561,2204.977778,0,0,0.523598776,14.33333333,0,0
18,6175.899843,2205.096875,0,0,0.523598776,14.25,0,0
20,6176.104923,2205.215278,0,0,0.523598776,14.16666667,0,0
22,6176.3088,2205.332986,0,0,0.523598776,14.08333333,0,0
24,6176.511474,2205.45,0,0,0.523598776,14,0,0
26,6176.712945,2205.566319,0,0,0.523598776,13.91666667,0,0
28,6176.913213,2205.681944,0,0,0.523598776,13.83333333,0,0
30,6177.112279,2205.796875,0,0,0.523598776,13.75,0,0
32,6177.310142,2205.911111,0,0,0.523598776,13.66666667,0,0
34,6177.506801,2206.024653,0,0,0.523598776,13.58333333,0,0
36,6177.702259,2206.1375,0,0,0.523598776,13.5,0,0
38,6177.896513,2206.249653,0,0,0.523598776,13.41666667,0,0
40,6178.089564,2206.361111,0,0,0.523598776,13.33333333,0,0
42,6178.281413,2206.471875,0,0,0.523598776,13.25,0,0
44,6178.472059,2206.581944,0,0,0.523598776,13.16666667,0,0
46,6178.661502,2206.691319,0,0,0.523598776,13.08333333,0,0
48,6178.849742,2206.8,0,0,0.523598776,13,0,0
50,6179.03678,2206.907986,0,0,0.523598776,12.91666667,0,0
52,6179.222614,2207.015278,0,0,0.523598776,12.83333333,0,0
54,6179.407246,2207.121875,0,0,0.523598776,12.75,0,0
56,6179.590675,2207.227778,0,0,0.523598776,12.66666667,0,0
58,6179.772901,2207.332986,0,0,0.523598776,12.58333333,0,0
60,6179.953925,2207.4375,0,0,0.523598776,12.5,0,0
62,6180.133745,2207.541319,0,0,0.523598776,12.41666667,0,0
64,6180.312363,2207.644444,0,0,0.523598776,12.33333333,0,0
66,6180.489778,2207.746875,0,0,0.523598776,12.25,0,0
68,6180.66599,2207.848611,0,0,0.523598776,12.16666667,0,0
70,6180.840999,2207.949653,0,0,0.523598776,12.08333333,0,0
72,6181.014806,2208.05,0,0,0.523598776,12,0,0
74,6181.187409,2208.149653,0,0,0.523598776,11.91666667,0,0
76,6181.35881,2208.248611,0,0,0.523598776,11.83333333,0,0
78,6181.529008,2208.346875,0,0,0.523598776,11.75,0,0
80,6181.698004,2208.444444,0,0,0.523598776,11.66666667,0,0
82,6181.865796,2208.541319,0,0,0.523598776,11.58333333,0,0
84,6182.032386,2208.6375,0,0,0.523598776,11.5,0,0
86,6182.197772,2208.732986,0,0,0.523598776,11.41666667,0,0
88,6182.361956,2208.827778,0,0,0.523598776,11.33333333,0,0
90,6182.524938,2208.921875,0,0,0.523598776,11.25,0,0
92,6182.686716,2209.015278,0,0,0.523598776,11.16666667,0,0
94,6182.847291,2209.107986,0,0,0.523598776,11.08333333,0,0
96,6183.006664,2209.2,0,0,0.523598776,11,0,0
98,6183.164834,2209.291319,0,0,0.523598776,10.91666667,0,0
100,6183.321801,2209.381944,0,0,0.523598776,10.83333333,0,0
102,6183.477566,2209.471875,0,0,0.523598776,10.75,0,0
104,6183.632127,2209.561111,0,0,0.523598776,10.66666667,0,0
106,6183.785486,2209.649653,0,0,0.523598776,10.58333333,0,0
108,6183.937642,2209.7375,0,0,0.523598776,10.5,0,0
110,6184.088595,2209.824653,0,0,0.523598776,10.41666667,0,0
112,6184.238345,2209.911111,0,0,0.523598776,10.33333333,0,0
114,6184.386892,2209.996875,0,0,0.523598776,10.25,0,0
116,6184.534237,2210.081944,0,0,0.523598776,10.16666667,0,0
118,6184.680379,2210.166319,0,0,0.523598776,10.08333333,0,0
120,6184.825318,2210.25,0,0,0.523598776,10,0,0
122,6184.969054,2210.332986,0,0,0.523598776,9.916666667,0,0
124,6185.111587,2210.415278,0,0,0.523598776,9.833333333,0,0
126,6185.252918,2210.496875,0,0,0.523598776,9.75,0,0
128,6185.393045,2210.577778,0,0,0.523598776,9.666666667,0,0
130,6185.53197,2210.657986,0,0,0.523598776,9.583333333,0,0
132,6185.669692,2210.7375,0,0,0.523598776,9.5,0,0
134,6185.806212,2210.816319,0,0,0.523598776,9.416666667,0,0
136,6185.941528,2210.894444,0,0,0.523598776,9.333333333,0,0
138,6186.075642,2210.971875,0,0,0.523598776,9.25,0,0
140,6186.208553,2211.048611,0,0,0.523598776,9.166666667,0,0
142,6186.340261,2211.124653,0,0,0.523598776,9.083333333,0,0
144,6186.470766,2211.2,0,0,0.523598776,9,0,0
146,6186.600068,2211.274653,0,0,0.523598776,8.916666667,0,0
148,6186.728168,2211.348611,0,0,0.523598776,8.833333333,0,0
150,6186.855065,2211.421875,0,0,0.523598776,8.75,0,0
152,6186.980759,2211.494444,0,0,0.523598776,8.666666667,0,0
154,6187.10525,2211.566319,0,0,0.523598776,8.583333333,0,0
156,6187.228538,2211.6375,0,0,0.523598776,8.5,0,0
158,6187.350624,2211.707986,0,0,0.523598776,8.416666667,0,0
160,6187.471506,2211.777778,0,0,0.523598776,8.333333333,0,0
162,6187.591186,2211.846875,0,0,0.523598776,8.25,0,0
164,6187.709663,2211.915278,0,0,0.523598776,8.166666667,0,0
166,6187.826938,2211.982986,0,0,0.523598776,8.083333333,0,0
168,6187.943009,2212.05,0,0,0.523598776,8,0,0
170,6188.057878,2212.116319,0,0,0.523598776,7.916666667,0,0
172,6188.171543,2212.181944,0,0,0.523598776,7.833333333,0,0
174,6188.284007,2212.246875,0,0,0.523598776,7.75,0,0
176,6188.395267,2212.311111,0,0,0.523598776,7.666666667,0,0
178,6188.505324,2212.374653,0,0,0.523598776,7.583333333,0,0
180,6188.614179,2212.4375,0,0,0.523598776,7.5,0,0
182,6188.72183,2212.499653,0,0,0.523598776,7.416666667,0,0
184,6188.828279,2212.561111,0,0,0.523598776,7.333333333,0,0
186,6188.933526,2212.621875,0,0,0.523598776,7.25,0,0
188,6189.037569,2212.681944,0,0,0.523598776,7.166666667,0,0
190,6189.140409,2212.741319,0,0,0.523598776,7.083333333,0,0
192,6189.242047,2212.8,0,0,0.523598776,7,0,0
194,6189.342482,2212.857986,0,0,0.523598776,6.916666667,0,0
196,6189.441714,2212.915278,0,0,0.523598776,6.833333333,0,0
198,6189.539743,2212.971875,0,0,0.523598776,6.75,0,0
200,6189.63657,2213.027778,0,0,0.523598776,6.666666667,0,0
202,6189.732193,2213.082986,0,0,0.523598776,6.583333333,0,0
